Index,Date,News
0,1/31/2018,"['President’s Power to Oust Consumer Watchdog’s Chief Is Curbed by Court', 'San Francisco Will Clear Thousands of Marijuana Convictions', 'Getting a Fresh Start With Windows 10', 'North Korean Defector, Honored by Trump, Has a Remarkable Escape Story', '‘House of Cards’ Resumes Production, With Diane Lane and Greg Kinnear', 'A Paper Tears Apart in a City That Never Quite Came Together', 'Uber’s New Training Wheels: Testing Bike Sharing in San Francisco', 'The #MeToo Moment: I’m a Straight Man. Now What?', 'California Today: The Los Angeles Times Has (Another) New Editor', 'Your iPhone Slowed Down. Here’s What to Do When the Solution Is Just as Slow.', 'After Era That Made It a Verb, Xerox, in a Sale, Is Past Tense', 'Microsoft Sales Lifted by Cloud Computing', 'Facebook Calms Concerns About Ad Revenue: DealBook Briefing', 'Watching Trump’s Speech: They Cheered. They Groaned. They Ate a Cake.', 'This Year, Make an Investment in Your Friendships', 'BMW and Daimler Move Against Executives Over Diesel Tests on Monkeys', 'Trump’s State of the Union Ratings Don’t Match Obama’s (but Beat the Grammys)', 'A ‘Gadget Junkie,’ Wearing His Tech and Covering Deals', 'Worries Grow That the Price of Bitcoin Is Being Propped Up', 'Amazon Wants to Disrupt Health Care in America. In China, Tech Giants Already Have.', 'A FEMA Error Drove Fears That Food and Water Aid to Puerto Rico Was Ending. It’s Not.', '‘Gloomy.’ ‘Amazing.’ Trump’s Speech Divides the Pundits.', 'Tackling the Internet’s Central Villain: The Advertising Business', 'What Companies Are Doing With Their Savings From the Tax Law', 'Transcript: Trump’s First State of the Union Speech, Annotated']"
1,2/1/2018,"['6,900 Syrians Win Permission to Stay in the U.S., for Now', 'If Workers Slack Off, the Wristband Will Know. (And Amazon Has a Patent for It.)', 'Recording 4K Video on an iPhone', 'California Today: Readers Respond to Our Los Angeles Coverage', 'Facebook Aims to Soothe Wall Street Over News Feed Changes', '2 Injured in Los Angeles School Shooting, With a Suspect in Custody', 'School Shooting Simulation Trains Teachers for the Worst', 'Alibaba’s Online Growth Surges, Even as It Looks Offline', 'An Indian ‘Chief’ Mascot Was Dropped. A Decade Later, He’s Still Lurking.', 'Car Navigation Systems Plot a Course Forward Against Phone Apps', 'The Advertising Firm Droga5 Fires Its Chief Creative Officer', '‘My Baby Almost Died’: Formula Scandal Sends Shudders Through France', 'Saving Gawker and Alt-Weeklies From Deletion', 'Stephen Wynn to Be Investigated by Massachusetts Casino Regulators', 'Trump Tax Cuts and the Economy: Time Will Tell, Maybe', 'India Wants to Give Half a Billion People Free Health Care', 'A D-Day Plane Is Flying Again', 'Lactalis’s Salmonella-Contaminated Baby Formula: What Parents Should Know', 'Cash-Strapped Chinese Giant Taps a New Money Source: Its Workers', 'Settlements for 3 Wall Street Banks Hold a Silver Lining', 'Fact Check: Democratic Responses to Trump’s State of the Union', 'Apple, Alphabet, Amazon Reported Results. Here’s How They Fared: DealBook Briefing', 'New Service, Same Old Equifax: Credit Locking App Freezes Up', 'Republicans Stuff Education Bill With Conservative Social Agenda', '6 Reasons That Pay Has Lagged Behind U.S. Job Growth', 'Trump as Optimist, Salesman or Bully: Mixing Messages in His First Year']"
2,2/2/2018,"['Arizona Man Is Charged With Making Armor-Piercing Bullets Found in Las Vegas Gunman’s Room', 'Tallying Wells Fargo’s Penalties: DealBook Briefing', 'A West Virginia Newspaper Won Journalism’s Top Award. Now It’s Filed for Bankruptcy.', 'California Today: Hot Winter Means Snowpack Is Far Below Normal', 'Amazon and Apple Gush Over Holiday Sales', 'Adding Captions to Images in Google Photos', 'How to Bid for the N.F.L.’s Biggest Prize: Team Ownership', 'Leading Private Equity Firm Accused of Misusing Funds', 'University of Pennsylvania Takes Away Steve Wynn’s Honors. And Bill Cosby’s, Too.', 'Stocks Fall to End a Bad Week, and a Boom Begins to Look Shaky', 'First Female Editor of Bild, Influential German Tabloid, Steps Down', 'Job and Wage Gains Deliver a Promising Start for the Year', 'Federal Reserve Shackles Wells Fargo After Fraud Scandal', 'Humane Society C.E.O. Resigns Amid Sexual Harassment Allegations', 'Reunited? CBS and Viacom Are Talking About It', 'Accounting Investigation Adds to Challenges Facing G.E.', 'Activists Try to Recall Judge in Stanford Sex Attack Case. Some Say They’ve Gone Too Far.', 'Director of Veterans Hospital Accused of Manipulating Ratings Is Replaced', 'Alphabet’s Earnings Disappoint. Blame It on the iPhone.', 'Bonuses After Tax Cut Don’t Always Live Up to Their Billing', 'Farhad’s Week in Tech: Less Time on Facebook, More Noise From Amazon', 'Yes, You Can Find a Financial Planner Even if You’re Not Rich', 'Teenager in ‘Slender Man’ Stabbing Gets 40 Years in Mental Hospital', 'Funeral Homes Slow to Put Prices Online', 'Read the Nunes Memo, Annotated']"
3,2/3/2018,"['Aiming at China’s Armpits: When Foreign Brands Misfire', 'Amazon Effect, Meatball Edition', '‘They Can’t Wait to Vote’: Energized Democrats Target Dominant G.O.P. in Statehouses', 'Taking a Knee and Taking Down a Monument', 'Dr. Arnold Gold, 92, Dies; Made Compassionate Care a Cause', 'In New Orleans, Whispers of Haiti Become a Brassy Mardi Gras Shout', 'Is Dell’s Debt Load Pushing It Into a Deal?', 'Washington Is Abuzz Over the Nunes Memo. His California District, Not So Much.']"
4,2/4/2018,"['Fatal Amtrak Crash in South Carolina Is New Challenge for Rail Service', 'How Wells Fargo and Federal Reserve Struck Deal to Hold Bank’s Board Accountable', 'Amazon Asked for Patience. Remarkably, Wall Street Complied.', 'DC Comics Joins Forces With Young Adult Authors', 'What It May Take to Strike a Segregationist’s Name From a Georgia Bridge: Hundreds of Girl Scouts', 'Powell Takes Over as Fed Chief as Economy Starts to Show Strain', 'Advertisers Eschew Politics for Humor in Super Bowl Commercials', 'Labor Dept. Plan Could Let the Boss Pocket the Tip', 'Early Facebook and Google Employees Form Coalition to Fight What They Built']"
5,2/5/2018,"['As Bitcoin Bubble Loses Air, Frauds and Flaws Rise to Surface', 'Broadcom Raises Its Qualcomm Offer to $121 Billion', 'Ram Trucks Commercial With Martin Luther King Jr. Sermon Is Criticized', 'How Bell Pottinger, P.R. Firm for Despots and Rogues, Met Its End in South Africa', 'Hispanic Group Protests at Oscars Luncheon', 'Starboard Value Criticizes Mellanox for Stock Sales', 'Should You Worry About Getting Sick From a Plane Flight? Maybe', 'China’s Trade Investigation Takes Aim at Trump’s Voter Base', 'DealBook Briefing: How Monday’s Stock Plunge Ranks?', 'Many Say He’s the Least Qualified Lawyer Ever to Lead a Guantánamo Case. He Agrees.', 'From Oil to Solar: Saudi Arabia Plots a Shift to Renewables', 'Samsung Heir Freed, to Dismay of South Korea’s Anti-Corruption Campaigners', 'Big U.S. Trade Gap Expected, and European Stimulus Plan at Issue', 'Waymo v. Uber Trial Opens With a Battle of Sports Metaphors', 'CVS Executive Hired to Run Hudson’s Bay', 'California Today: The Beverly Hills Affordable Housing Loophole', 'Dow Jones and S.&P. Slide Again, Dropping by More Than 4%', 'She Was No. 2 at Intel. Now She’s Taking Aim at the Chip Maker.', 'Finding Videos With Audio Descriptions', 'Trump Wants a Border Wall. See What’s in Place Already.']"
6,2/6/2018,"['4 Takeaways From Monday’s Stock Market Sell-Off', 'Thawing a Frozen Apple TV App', '‘Lady Doritos’? Pepsi Wants a Do-Over', 'The Times Answers Your Questions About the Market Turmoil', 'Can Christian Louboutin Trademark Red Soles? An E.U. Court Says No', 'Apple’s HomePod Has Arrived. Don’t Rush to Buy It.', 'Where Are the Start-Ups? Loss of Dynamism Is Impeding Growth', 'The Era of Easy Money Is Ending, and the World Is Bracing for Shocks', 'DealBook Briefing: Tronc Nears Deal to Sell Los Angeles Times', 'How an N.F.L. Player’s Death Turned Into a Political Exhibit', '‘I Know That God Will Forgive Me,’ the Nashville Mayor Says. But Will the Voters?', 'Plans at Stanford Fall Apart for a Plaque at Site of Sexual Assault', 'Investors Fear the Tax Cuts Will Work Too Well', 'How Does Monday’s Stock Plunge Stack Up?', 'Wall Street Halts a Global Rout', 'So It’s Your First Market Hiccup. What Should You Do Now?', 'FEMA Contract Called for 30 Million Meals for Puerto Ricans. 50,000 Were Delivered.', 'Lululemon’s Chief Executive Resigns Over Behavior', 'Updating the Landmark T.W.A. Terminal at J.F.K., This Time as a Hotel', 'Los Angeles Times Said to Be Nearing Sale to Billionaire Doctor', 'How Deep Is the Hole the Stock Market Just Stepped In?', 'Mercedes-Benz Quotes the Dalai Lama. China Notices. Apology Follows.', 'California Today: Traffic Is Terrible, but Californians Keep Buying Cars', 'Recent Commercial Real Estate Transactions', 'U.S.-China Trade Deficit Hits Record, Fueling Trade Fight', 'Signal System Was Down for Safety Upgrades Before Fatal Amtrak Crash, Authorities Say', 'In Baltimore, Brazen Officers Took Every Chance to Rob and Cheat', 'How South Korea Left the North Behind', 'Judgment by the Hong Kong Court of Final Appeal']"
7,2/7/2018,"['He’s a Nazi, Republicans Warn, but He’s Their Likely Nominee for Congress', 'Why Google’s Bosses Became ‘Unpumped’ About Uber', 'Disney Reports Mixed Earnings and a Full Project Pipeline', 'For Millennial Investors, a Harsh Lesson in Market Gyrations', 'DealBook Briefing: Tesla’s Mass Market Hopes May Remain Elusive', 'In Waymo-Uber Trial, Kalanick Recalls ‘Jam Sesh’ With Rival Engineer', 'Gains on Wall St. Subside as Global Investors Grow Cautious', 'For Korea Inc., Money and Politics Make an Awkward Olympics', 'Keeping Gear (and Herself) Warm at the Winter Olympics', 'California Today: How a Market Tumble Affects California', 'Volatility Rattles Stocks, and Investors Who Bet on a Continuing Calm', 'Tronc Sells The Los Angeles Times to Local Billionaire for $500 Million', 'Here Are the World’s Virtual Currency Billionaires (or at Least They Were)', 'Keeping Google Assistant on Tap', 'What Wall Street’s Ups and Downs Look Like', 'Eric Holder’s Group Targets All-G.O.P. States to Attack Gerrymandering', 'A Crazy Idea for Funding Local News: Charge People for It', 'Snap Reverses Slide as User Growth and Revenue Jump', 'Tesla Model 3, Elon Musk’s Grail, Remains a Costly Pursuit', 'Only 5 Nations Can Hit Any Place on Earth With a Missile. For Now.', 'Can Democrats Win the Senate?']"
8,2/8/2018,"['PepsiCo Dips Its Toes Into the Sparkling Water Market', 'From (Crumbling) Airport to (Broken) Escalators: An Infrastructure Odyssey', 'Macy’s Courts Muslims With New Hijab Brand', 'Cryptocurrencies Come to Campus', '‘Pod Save America’ Is Coming to HBO', 'California Today: Is ‘The Shape of Water’ the Movie to Beat?', 'New York Times Co. Subscription Revenue Surpassed $1 Billion in 2017', 'To Power the Future, Carmakers Flip on 48-Volt Systems', 'Cleaning Out the Kindle Library', 'Stocks Enter Correction Territory: DealBook Briefing', 'We All Have a Stake in the Stock Market, Right? Guess Again', 'In Los Angeles, a Billionaire Doctor Takes On an Ailing Newspaper', '‘I’m Not a Career Politician’: 6 Teenagers Run for Kansas Governor', 'What Is a Stock Market Correction?', 'Bringing a Personal Touch to Plus-Size Fashion', 'What Puerto Rico Is, and Isn’t, Getting in Disaster Relief', 'Rising Hummus Prices? Blame a Drought Half a World Away', 'F.B.I. Finds No Evidence of Attack in Death of Border Agent', 'Twitter Has Good News for Once: Its First Quarterly Profit', 'Drug Industry Wages Opioid Fight Using an Anti-Addiction Ally', 'Stocks Plunge as Market Enters ‘Correction’ Territory', 'Muhiyidin Moye, Black Lives Matter Activist, Is Shot and Killed in New Orleans', 'A Girl Scout Sold 300 Boxes of Cookies Near a California Marijuana Shop', 'Without Steve Wynn, Casino Empire Risks Losing More Than a Name', 'Winter Olympics’ Security on Alert, but Hackers Have a Head Start', 'Budget Deficits Are Projected to Balloon Under the Bipartisan Spending Deal', 'Why Is the Syrian Civil War Still Raging?', 'The Stock Market Isn’t the Economy. Here’s How They Can Shape Each Other']"
9,2/9/2018,"['Amazon to Test a New Delivery Service for Sellers', 'How Taxpayers Who Want Help Can Find a Reputable Preparer', 'Facial Recognition Is Accurate, if You’re a White Guy', 'Are Debt Problems Lurking Below the Surface?', 'L.L. Bean, Citing Abuse, Tightens Its Generous Policy on Returns', 'Insurance 101: Butler Undergrads Write Coverage for Dogs and Pianos', 'Trinity Mirror Agrees to Buy U.K. Tabloid Rival', 'Stocks Post Worst Week in Two Years: DealBook Briefing', 'A Battle Over Diamonds: Made by Nature or in a Lab?', 'With Waymo Settlement, Uber C.E.O. Makes His Mark', 'Uber and Waymo Settle Trade Secrets Suit Over Driverless Cars', 'Farhad’s Week in Tech: HomePod Whiffs, but Elon Musk Does Not', 'The #MeToo Moment: When Mothers and Daughters Talk #MeToo', 'When Windows Is 100 Percent Stalled', 'Tumultuous Week on Wall Street Ends With a Small Rally', 'NBC Executive Takes Over Amazon Studios', 'About That Song You’ve Heard, Kumbaya', 'Trump Trade Measures Set Off a Global Legal Pushback']"
